"Runtime","Genre","Rating","Metascore","Gross","nominated"
95,"
Horror",6.4,22,39.75,"not nominated"
125,"
Biography",7.5,65,83.3,"nominated"
153,"
Adventure",8.3,69,120.5,"nominated"
101,"
Comedy",7.7,91,16.42,"nominated"
134,"
Action",6,57,37.6,"not nominated"
130,"
Action",6.4,59,182.6,"nominated"
95,"
Adventure",4.7,27,82.67,"not nominated"
127,"
Action",7.9,82,257.7,"nominated"
105,"
Comedy",6.4,64,41.64,"nominated"
95,"
Drama",8,47,22.24,"not nominated"
102,"
Comedy",4.6,47,79.57,"not nominated"
105,"
Drama",7.8,77,106.2,"nominated"
124,"
Drama",6.7,63,52.8,"nominated"
93,"
Comedy",6.2,44,19.44,"not nominated"
97,"
Adventure",6.4,32,30.22,"not nominated"
102,"
Comedy",4.1,27,95.67,"nominated"
90,"
Horror",6,33,65.23,"nominated"
129,"
Crime",7.6,76,88.51,"not nominated"
135,"
Comedy",7.6,55,59.7,"not nominated"
90,"
Animation",6,48,160.8,"nominated"
93,"
Comedy",7.6,72,49.53,"not nominated"
109,"
Comedy",6.4,67,53.21,"not nominated"
119,"
Drama",7.2,80,31.85,"nominated"
125,"
Adventure",8,58,66.26,"nominated"
92,"
Animation",6.5,55,153.7,"nominated"
130,"
Action",7.3,66,209.8,"not nominated"
103,"
Action",6,37,67.63,"not nominated"
92,"
Comedy",4.8,24,20.52,"not nominated"
97,"
Animation",7.3,77,486.3,"not nominated"
169,"
Adventure",8.6,74,188,"nominated"
137,"
Action",7.2,59,115.6,"nominated"
166,"
Drama",7.8,70,127.5,"nominated"
107,"
Drama",7.8,75,61.28,"nominated"
107,"
Action",6.1,60,82.67,"nominated"
80,"
Animation",6.9,38,47.48,"nominated"
126,"
Crime",7.4,56,43.85,"nominated"
89,"
Action",4.8,37,65.89,"not nominated"
116,"
Action",6.1,66,24.27,"not nominated"
139,"
Comedy",7.7,67,148.4,"nominated"
106,"
Action",6.4,49,59.07,"not nominated"
88,"
Comedy",6.9,67,18.2,"not nominated"
87,"
Animation",7.1,66,85.42,"not nominated"
96,"
Action",6,42,56.68,"nominated"
96,"
Fantasy",6.6,49,44.79,"not nominated"
144,"
Drama",7.5,60,60.98,"not nominated"
115,"
Action",7,57,181,"not nominated"
118,"
Action",6.9,59,41.09,"not nominated"
146,"
Comedy",4.5,27,95.35,"not nominated"
116,"
Adventure",8.5,87,210.6,"nominated"
100,"
Biography",7,64,23,"not nominated"
113,"
Action",7.6,86,107.8,"nominated"
121,"
Drama",7.6,89,40.16,"nominated"
90,"
Animation",7.2,67,165.2,"nominated"
105,"
Adventure",6,42,177.2,"not nominated"
113,"
Action",6.1,55,115.1,"nominated"
189,"
Crime",8.6,61,136.8,"nominated"
127,"
Action",7,62,101.6,"nominated"
120,"
Action",7.8,94,128,"nominated"
104,"
Comedy",5.7,48,139.2,"not nominated"
118,"
Biography",8,88,138.8,"nominated"
100,"
Animation",7.7,84,434,"nominated"
77,"
Animation",5.5,66,64.96,"not nominated"
84,"
Adventure",5.9,61,140,"nominated"
99,"
Biography",5.8,47,91.44,"not nominated"
116,"
Horror",5.6,56,89.14,"not nominated"
124,"
Action",7,54,89.02,"not nominated"
96,"
Drama",7.6,79,40.46,"nominated"
99,"
Action",6,50,70.33,"nominated"
136,"
Biography",7.8,72,119.5,"nominated"
97,"
Comedy",6.2,70,110.2,"not nominated"
106,"
Horror",5.9,53,74.15,"not nominated"
136,"
Biography",7.3,57,67.26,"not nominated"
120,"
Action",7,78,75.75,"nominated"
113,"
Comedy",6.8,70,124,"nominated"
80,"
Animation",4.6,35,100.2,"not nominated"
101,"
Horror",5.7,57,54.72,"not nominated"
155,"
Biography",7.3,63,44.18,"nominated"
110,"
Action",6.3,61,140.2,"not nominated"
100,"
Drama",7.4,70,0.2,"not nominated"
92,"
Comedy",5.6,47,100.2,"not nominated"
91,"
Comedy",7.2,75,45.95,"nominated"
115,"
Drama",7.3,87,50.08,"nominated"
138,"
Crime",7.9,84,90.14,"nominated"
146,"
Action",7.2,72,79.88,"nominated"
127,"
Action",6.8,83,108.1,"not nominated"
167,"
Crime",7.5,72,77.81,"nominated"
109,"
Action",6.1,46,63.15,"not nominated"
102,"
Adventure",6.9,45,34.37,"not nominated"
128,"
Comedy",7.4,55,77.87,"not nominated"
109,"
Action",6.4,66,42.31,"nominated"
107,"
Animation",7.2,75,123.4,"nominated"
124,"
Drama",7.1,72,64.91,"not nominated"
119,"
Action",7.7,66,324.5,"not nominated"
98,"
Comedy",6.9,68,50.61,"not nominated"
130,"
Biography",8.2,69,85.08,"nominated"
103,"
Comedy",6.4,58,105.4,"nominated"
107,"
Comedy",5.3,45,63.32,"not nominated"
106,"
Action",5.8,39,163.2,"not nominated"
114,"
Drama",7.5,76,28.61,"nominated"
144,"
Biography",8,69,61.65,"nominated"
111,"
Drama",6.5,55,68.39,"nominated"
146,"
Drama",8,62,169.7,"nominated"
132,"
Action",7.7,72,228.7,"nominated"
124,"
Action",5.9,48,142.1,"not nominated"
127,"
Comedy",7.5,94,71.5,"nominated"
105,"
Action",7.5,68,176.7,"nominated"
128,"
Action",7.2,74,102.3,"nominated"
107,"
Animation",7.3,68,77.59,"nominated"
87,"
Drama",6.4,45,44.59,"not nominated"
119,"
Drama",7.6,74,34.7,"nominated"
134,"
Adventure",6.5,52,159.5,"not nominated"
99,"
Horror",6.7,61,25.79,"not nominated"
107,"
Comedy",6.2,58,29.89,"nominated"
131,"
Action",6.3,40,50.33,"not nominated"
107,"
Drama",6.6,42,80.04,"nominated"
88,"
Comedy",4.7,5,23.65,"not nominated"
93,"
Adventure",6.3,60,38.04,"not nominated"
110,"
Drama",6.6,66,5.79,"nominated"
103,"
Comedy",8.1,90,125.6,"nominated"
102,"
Animation",7.8,74,222.5,"nominated"
115,"
Crime",6.1,62,41.29,"nominated"
103,"
Action",6.6,51,85.02,"not nominated"
131,"
Action",8.3,58,309.1,"not nominated"
95,"
Action",5.2,40,38.19,"not nominated"
132,"
Drama",6.4,61,53.3,"not nominated"
146,"
Action",7.7,47,77.91,"not nominated"
130,"
Action",5.2,42,69.12,"not nominated"
100,"
Animation",6.6,61,183.3,"nominated"
120,"
Drama",7.4,49,50.34,"not nominated"
157,"
Adventure",7.7,81,290,"nominated"
100,"
Fantasy",6.2,57,71.63,"not nominated"
130,"
Action",7.8,50,56.51,"not nominated"
143,"
Adventure",6.9,75,291.7,"nominated"
93,"
Adventure",5.1,34,84.22,"not nominated"
109,"
Comedy",7.4,83,83.82,"nominated"
116,"
Action",6.6,62,77.09,"nominated"
128,"
Comedy",8.1,79,95.86,"nominated"
90,"
Animation",8,86,217.3,"nominated"
183,"
Drama",8.1,86,48.98,"nominated"
83,"
Animation",7.3,65,63.46,"not nominated"
116,"
Horror",4.5,30,10,"nominated"
120,"
Biography",7.7,86,136,"nominated"
123,"
Drama",7.2,68,43.44,"not nominated"
113,"
Adventure",6.1,51,70.11,"nominated"
86,"
Horror",5.8,52,55.04,"not nominated"
90,"
Animation",6.6,65,149.2,"nominated"
105,"
Comedy",6.4,58,22.91,"nominated"
165,"
Drama",8.4,81,162.8,"nominated"
107,"
Action",6.7,64,119.2,"not nominated"
122,"
Biography",7.8,78,26.83,"nominated"
90,"
Horror",6.3,64,25,"not nominated"
143,"
Drama",7.3,59,82.57,"nominated"
110,"
Action",5.4,34,80.1,"nominated"
120,"
Crime",7.5,71,101,"nominated"
105,"
Comedy",6,36,77.27,"not nominated"
99,"
Comedy",6.2,55,52.86,"not nominated"
121,"
Biography",7.3,69,96.37,"nominated"
169,"
Adventure",7.8,58,303,"nominated"
107,"
Action",6.3,71,36.2,"not nominated"
109,"
Action",6.2,63,47.75,"not nominated"
98,"
Comedy",6.6,56,41.69,"nominated"
91,"
Action",6.3,46,37.9,"not nominated"
118,"
Comedy",5.9,63,56.4,"not nominated"
105,"
Action",5.9,54,73.65,"not nominated"
124,"
Action",6,41,68.67,"nominated"
96,"
Action",5.8,41,47.41,"not nominated"
96,"
Biography",7.4,74,125,"nominated"
101,"
Comedy",6.4,64,37.8,"not nominated"
97,"
Action",5.7,37,82.62,"not nominated"
88,"
Comedy",5.1,28,30.06,"not nominated"
130,"
Drama",7.7,64,82.42,"nominated"
107,"
Drama",7.5,57,64.43,"nominated"
156,"
Drama",8,59,63.9,"nominated"
117,"
Crime",7.7,72,104.4,"nominated"
89,"
Fantasy",7.4,87,7,"not nominated"
126,"
Action",6.3,66,70.31,"nominated"
103,"
Animation",8.2,92,415,"nominated"
132,"
Action",8.2,72,83.01,"nominated"
137,"
Comedy",7.5,61,41.9,"nominated"
128,"
Crime",7.8,65,34.6,"nominated"
125,"
Action",7.1,55,46.8,"nominated"
105,"
Biography",7.7,87,35.81,"nominated"
108,"
Animation",6.7,58,84.41,"nominated"
107,"
Adventure",5.5,55,19.88,"not nominated"
122,"
Drama",5.2,56,191.4,"not nominated"
137,"
Action",8.5,75,204.8,"nominated"
100,"
Action",5.3,41,66.13,"not nominated"
113,"
Action",6.5,39,20.05,"not nominated"
161,"
Comedy",7.6,83,142.5,"not nominated"
170,"
Biography",7.5,77,102.6,"nominated"
89,"
Animation",6.3,49,264.6,"not nominated"
122,"
Crime",7.5,80,39.39,"nominated"
154,"
Drama",7.8,78,98.47,"nominated"
116,"
Comedy",6.1,16,60.86,"nominated"
98,"
Action",7.3,71,250.6,"nominated"
135,"
Action",6.2,56,88.25,"nominated"
102,"
Comedy",5.8,16,47.12,"not nominated"
107,"
Action",6.9,59,27.44,"not nominated"
105,"
Comedy",5.3,45,94.01,"not nominated"
118,"
Comedy",5.3,33,85.91,"nominated"
98,"
Comedy",6.5,68,0.82,"not nominated"
103,"
Comedy",6.3,56,60.06,"not nominated"
86,"
Action",6.6,64,38.91,"not nominated"
127,"
Biography",7.8,74,169.6,"nominated"
129,"
Crime",6.5,68,25.93,"nominated"
152,"
Action",8.1,81,117.6,"nominated"
169,"
Action",7.1,50,309.4,"nominated"
161,"
Adventure",7.8,66,258.3,"nominated"
96,"
Action",6.5,47,150.4,"nominated"
109,"
Action",5.1,34,94.78,"not nominated"
116,"
Drama",7,41,100,"nominated"
87,"
Action",5.1,47,93.39,"not nominated"
98,"
Animation",7.2,55,187.1,"nominated"
126,"
Drama",8.3,70,138.4,"nominated"
92,"
Comedy",7.5,70,73.71,"nominated"
120,"
Action",6.8,66,25.89,"nominated"
93,"
Animation",6.7,66,123,"not nominated"
127,"
Comedy",6.3,56,53.67,"nominated"
112,"
Action",5.7,29,70.23,"not nominated"
119,"
Drama",6.9,67,156.6,"nominated"
152,"
Biography",7.7,73,75.33,"nominated"
133,"
Action",6.6,58,34.67,"not nominated"
134,"
Action",7.3,88,700,"nominated"
113,"
Crime",7.4,77,24.06,"not nominated"
104,"
Action",6.5,47,44.14,"nominated"
92,"
Comedy",6.9,47,31.67,"not nominated"
132,"
Comedy",8.6,96,53.37,"nominated"
125,"
Drama",7.7,66,77.32,"nominated"
104,"
Action",6.7,58,234.3,"not nominated"
134,"
Adventure",7.8,82,107.1,"nominated"
121,"
Drama",7,60,83.9,"not nominated"
123,"
Drama",6.4,41,104.6,"not nominated"
95,"
Animation",6.8,61,97.82,"not nominated"
112,"
Action",6.8,54,206.3,"not nominated"
130,"
Action",7.8,87,183.8,"nominated"
89,"
Animation",6.1,66,97.69,"not nominated"
91,"
Adventure",7.7,96,274,"nominated"
102,"
Comedy",4.8,34,62.25,"not nominated"
93,"
Action",5.8,57,101.7,"nominated"
91,"
Action",7.2,56,4.91,"not nominated"
85,"
Animation",6.7,64,58.87,"nominated"
93,"
Action",7.7,61,47.21,"not nominated"
117,"
Adventure",7,71,67.41,"not nominated"
99,"
Comedy",6.1,66,41.68,"not nominated"
135,"
Action",6.9,62,213.7,"nominated"
108,"
Action",8,65,363,"not nominated"
107,"
Comedy",6.8,55,50.43,"not nominated"
98,"
Crime",6.2,38,80.57,"not nominated"
116,"
Drama",4.9,30,31.18,"nominated"
105,"
Action",6.1,68,103.7,"nominated"
141,"
Biography",7.8,76,34.7,"nominated"
91,"
Horror",5.7,49,41,"nominated"
121,"
Biography",7.6,59,35,"nominated"
101,"
Action",6,44,43.25,"not nominated"
111,"
Action",5.6,44,59.87,"not nominated"
105,"
Comedy",6.5,51,89.33,"nominated"
150,"
Action",6.4,37,89.3,"nominated"
154,"
Drama",6.8,58,158.3,"nominated"
102,"
Animation",7.8,76,177,"nominated"
102,"
Comedy",4.9,17,24.07,"not nominated"
126,"
Drama",7.4,75,57.55,"nominated"
131,"
Crime",7.2,54,37.12,"nominated"
125,"
Comedy",6.2,75,110.2,"not nominated"
111,"
Adventure",6,63,44.34,"nominated"
105,"
Comedy",5.2,42,59.93,"not nominated"
121,"
Action",3.9,23,48.61,"not nominated"
114,"
Crime",6.3,61,48.14,"not nominated"
88,"
Action",6.1,35,80.17,"not nominated"
115,"
Adventure",6.6,72,206.4,"nominated"
128,"
Action",5.9,42,25.1,"nominated"
88,"
Animation",4.5,41,219.6,"not nominated"
121,"
Drama",7.2,64,71.51,"nominated"
154,"
Action",6,72,200,"nominated"
178,"
Biography",8.3,68,75.6,"nominated"
108,"
Drama",6.5,44,114.2,"nominated"
94,"
Comedy",6.8,36,31.62,"not nominated"
121,"
Biography",7.3,67,123.9,"nominated"
106,"
Adventure",5.6,46,64.94,"nominated"
130,"
Comedy",6.7,66,171.9,"nominated"
112,"
Comedy",6.9,53,26.71,"not nominated"
126,"
Action",7.3,47,57.27,"nominated"
103,"
Adventure",7.1,75,88.63,"nominated"
140,"
Adventure",7.6,77,173.8,"nominated"
144,"
Action",7,61,319.2,"nominated"
117,"
Drama",7.3,83,20.97,"nominated"
107,"
Animation",7,75,127.8,"nominated"
120,"
Comedy",6.9,59,21.03,"not nominated"
106,"
Action",6.9,63,76.57,"nominated"
105,"
Animation",8.4,81,209.7,"nominated"
106,"
Adventure",7.4,77,364,"nominated"
113,"
Drama",7.5,62,26.12,"not nominated"
133,"
Drama",7.6,82,109.7,"nominated"
125,"
Action",6,62,48.17,"not nominated"
150,"
Drama",7.5,62,100.9,"nominated"
103,"
Action",4,20,131.5,"not nominated"
103,"
Action",7.2,76,72.08,"not nominated"
110,"
Action",7.2,65,74.89,"not nominated"
162,"
Drama",7.4,87,78.65,"nominated"
129,"
Action",6.9,43,39.57,"not nominated"
113,"
Action",7.4,84,66.49,"not nominated"
98,"
Comedy",5.9,46,138.6,"not nominated"
116,"
Comedy",7,54,19.28,"not nominated"
115,"
Comedy",6.3,41,279.2,"not nominated"
136,"
Biography",6.8,80,49.11,"nominated"
132,"
Action",7.9,75,233.9,"nominated"
132,"
Action",6.6,51,73.08,"not nominated"
105,"
Fantasy",7.3,65,101,"nominated"
139,"
Drama",7.7,84,32.86,"not nominated"
135,"
Action",7.6,58,122,"nominated"
125,"
Action",6.8,49,172,"not nominated"
88,"
Comedy",6.1,37,20.93,"not nominated"
94,"
Adventure",5.5,34,82.57,"not nominated"
202,"
Biography",7.7,73,48.17,"nominated"
129,"
Action",7.5,69,390.5,"not nominated"
154,"
Crime",8.9,94,107.9,"nominated"
122,"
Crime",8.4,59,335.4,"nominated"
110,"
Comedy",7.1,82,14.1,"nominated"
106,"
Comedy",6.2,52,135.6,"not nominated"
107,"
Action",8,84,38.4,"not nominated"
97,"
Comedy",7.8,66,45.88,"not nominated"
127,"
Comedy",6.4,47,182.8,"not nominated"
157,"
Biography",6.8,65,58.2,"nominated"
116,"
Comedy",7.4,88,177.2,"nominated"
115,"
Crime",6.5,63,27.73,"not nominated"
81,"
Animation",8.3,95,191.8,"nominated"
127,"
Crime",6.5,54,38.29,"not nominated"
102,"
Action",5.8,51,74.33,"not nominated"
134,"
Action",7.6,64,85.82,"nominated"
98,"
Horror",5.8,38,59.69,"not nominated"
92,"
Comedy",7.4,62,20.12,"nominated"
91,"
Animation",6.3,64,128.2,"not nominated"
111,"
Comedy",5.7,35,134.5,"not nominated"
124,"
Action",6.4,45,118.9,"not nominated"
122,"
Horror",6.4,65,74.26,"not nominated"
98,"
Comedy",5.1,38,33.76,"not nominated"
125,"
Comedy",6.8,75,169.1,"nominated"
139,"
Biography",8.1,71,67.21,"nominated"
97,"
Animation",6.3,50,175,"nominated"
105,"
Comedy",6.9,82,72.08,"not nominated"
117,"
Comedy",7.1,81,52.7,"nominated"
108,"
Comedy",6.4,43,145.1,"not nominated"
104,"
Crime",7.1,74,31.9,"not nominated"
114,"
Drama",7.3,61,22.23,"nominated"
95,"
Comedy",6.1,40,35.15,"not nominated"
89,"
Adventure",4.9,50,58.66,"not nominated"
112,"
Adventure",6.3,51,114.7,"nominated"
96,"
Comedy",7.9,83,45.7,"nominated"
102,"
Biography",7,67,66.66,"nominated"
169,"
Drama",6.6,65,75.38,"nominated"
151,"
Action",6.7,42,201.5,"nominated"
117,"
Action",8.1,84,32.87,"nominated"
108,"
Drama",5,25,68.26,"not nominated"
112,"
Action",7,71,191.7,"not nominated"
102,"
Action",6.7,71,76.23,"nominated"
132,"
Comedy",6.9,42,58.22,"nominated"
135,"
Biography",8.2,72,170.7,"nominated"
121,"
Action",7.5,60,125.1,"nominated"
94,"
Comedy",7.2,61,73.69,"not nominated"
107,"
Action",6.6,49,38.5,"not nominated"
161,"
Biography",7.2,69,87.1,"nominated"
136,"
Action",8.7,73,171.4,"nominated"
128,"
Adventure",6.6,64,66.31,"nominated"
102,"
Action",7.6,71,50.69,"not nominated"
109,"
Comedy",4.7,59,36.76,"nominated"
110,"
Drama",6.4,35,37.8,"not nominated"
86,"
Animation",6.9,57,193.6,"not nominated"
145,"
Biography",7.2,75,70,"nominated"
113,"
Comedy",6.8,73,64,"nominated"
119,"
Crime",7.9,79,76.27,"nominated"
155,"
Drama",7.3,57,21.02,"nominated"
118,"
Comedy",6.6,67,63.77,"nominated"
136,"
Action",6,44,46.71,"not nominated"
119,"
Comedy",7,51,178.4,"nominated"
90,"
Comedy",6.4,70,63.86,"nominated"
127,"
Action",7,56,85.47,"nominated"
125,"
Action",6.6,56,46.21,"nominated"
97,"
Comedy",7.1,65,26.87,"not nominated"
117,"
Drama",6.5,45,63.86,"not nominated"
93,"
Animation",7.3,74,99.05,"nominated"
136,"
Action",7.4,58,134,"nominated"
107,"
Adventure",6.7,62,34.79,"not nominated"
96,"
Animation",8.2,88,293,"nominated"
86,"
Animation",5.8,46,100,"nominated"
107,"
Crime",6.5,50,67.64,"not nominated"
103,"
Comedy",5.3,33,60.4,"not nominated"
97,"
Adventure",6.3,68,82.99,"not nominated"
104,"
Comedy",7.3,73,114.9,"nominated"
127,"
Action",8.1,68,402.4,"nominated"
81,"
Drama",6.3,58,67.27,"not nominated"
99,"
Action",6.4,70,78,"nominated"
95,"
Comedy",5.9,51,63.37,"not nominated"
108,"
Comedy",6.2,45,26.26,"not nominated"
113,"
Adventure",4.2,27,20.38,"not nominated"
117,"
Crime",6.3,57,23,"not nominated"
96,"
Comedy",6.4,28,88.92,"not nominated"
154,"
Adventure",7.2,73,95.64,"nominated"
92,"
Comedy",5.8,52,80.2,"not nominated"
124,"
Action",5.9,48,69.24,"not nominated"
124,"
Comedy",7.2,79,24,"nominated"
122,"
Comedy",7.7,81,132,"nominated"
126,"
Action",7,68,162.8,"nominated"
142,"
Adventure",6.8,52,119.6,"nominated"
106,"
Action",4.9,48,100.8,"not nominated"
144,"
Adventure",7.4,59,255.1,"nominated"
195,"
Biography",8.9,94,96.9,"nominated"
83,"
Animation",7.2,52,73.28,"nominated"
83,"
Comedy",5.3,29,71.31,"not nominated"
123,"
Action",6.1,59,215.4,"not nominated"
95,"
Comedy",6,49,39.32,"not nominated"
108,"
Drama",6.5,60,40.5,"nominated"
107,"
Comedy",6.1,60,55.47,"not nominated"
97,"
Action",7,56,241.4,"nominated"
110,"
Action",6,36,70.98,"not nominated"
114,"
Action",5.5,39,116.6,"not nominated"
98,"
Drama",6.5,69,66.82,"not nominated"
109,"
Drama",7.6,68,119.2,"nominated"
103,"
Comedy",4.5,50,90.49,"not nominated"
123,"
Action",5.9,40,325.1,"nominated"
117,"
Comedy",6.7,65,76.11,"nominated"
81,"
Animation",7.5,60,176.3,"nominated"
125,"
Biography",7.4,75,56.47,"nominated"
93,"
Drama",4.7,23,64.89,"not nominated"
137,"
Action",6.7,38,77.87,"nominated"
115,"
Animation",6.2,59,82.16,"not nominated"
101,"
Horror",6.5,44,29.5,"not nominated"
141,"
Action",6.7,44,100.2,"not nominated"
131,"
Action",7.4,75,195,"not nominated"
91,"
Action",6.1,38,39.67,"not nominated"
88,"
Crime",7.1,71,89.22,"not nominated"
102,"
Comedy",7.1,83,80.64,"nominated"
115,"
Biography",6.8,25,135,"nominated"
135,"
Action",6.6,61,113.2,"not nominated"
180,"
Biography",8.2,75,116.9,"nominated"
143,"
Drama",7.2,55,144.8,"nominated"
95,"
Animation",8.1,94,356.4,"nominated"
104,"
Comedy",6.2,71,21.49,"nominated"
98,"
Comedy",6,52,68.38,"not nominated"
156,"
Action",8,76,183.6,"nominated"
101,"
Action",5.8,60,70.45,"not nominated"
106,"
Drama",6.7,70,75.66,"not nominated"
157,"
Drama",7.4,95,95.72,"nominated"
114,"
Action",6.5,59,55.47,"nominated"
117,"
Action",7.6,52,210.6,"not nominated"
